#   Source : patch outlet1
#   Faces  : 91
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
7.244444e+000	1.365075e+004
7.266667e+000	1.369393e+004
7.288889e+000	1.366560e+004
7.311111e+000	1.370369e+004
7.333333e+000	1.367032e+004
7.355556e+000	1.370384e+004
7.377778e+000	1.366650e+004
7.400000e+000	1.369626e+004
7.422222e+000	1.365499e+004
7.444444e+000	1.368123e+004
7.466667e+000	1.363804e+004
7.488889e+000	1.366357e+004
7.511111e+000	1.362254e+004
7.533333e+000	1.365339e+004
7.555556e+000	1.361897e+004
7.577778e+000	1.365614e+004
7.600000e+000	1.362678e+004
7.622222e+000	1.366676e+004
7.644444e+000	1.363666e+004
7.666667e+000	1.367380e+004
7.688889e+000	1.364112e+004
7.711111e+000	1.367622e+004
7.733333e+000	1.364182e+004
7.755556e+000	1.367596e+004
7.777778e+000	1.364165e+004
7.800000e+000	1.367661e+004
7.822222e+000	1.364325e+004
7.844444e+000	1.367895e+004
7.866667e+000	1.364560e+004
7.888889e+000	1.368006e+004
7.911111e+000	1.364520e+004
7.933333e+000	1.367914e+004
7.955556e+000	1.364526e+004
7.977778e+000	1.368099e+004
8.000000e+000	1.364877e+004
8.022222e+000	1.368497e+004
8.044444e+000	1.365173e+004
8.066667e+000	1.368567e+004
8.088889e+000	1.364970e+004
8.111111e+000	1.368041e+004
8.133333e+000	1.364160e+004
8.155556e+000	1.367081e+004
8.177778e+000	1.363177e+004
8.200000e+000	1.366189e+004
8.222222e+000	1.362516e+004
8.244444e+000	1.365923e+004
8.266667e+000	1.362745e+004
8.288889e+000	1.366619e+004
8.311111e+000	1.363727e+004
8.333333e+000	1.367672e+004
8.355556e+000	1.364652e+004
8.377778e+000	1.368337e+004
8.400000e+000	1.365015e+004
8.422222e+000	1.368416e+004
8.444444e+000	1.364878e+004
8.466667e+000	1.368174e+004
8.488889e+000	1.364657e+004
8.511111e+000	1.368005e+004
8.533333e+000	1.364546e+004
8.555556e+000	1.367945e+004
8.577778e+000	1.364537e+004
8.600000e+000	1.367997e+004
8.622222e+000	1.364627e+004
8.644444e+000	1.368085e+004
8.666667e+000	1.364637e+004
8.688889e+000	1.367927e+004
8.711111e+000	1.364304e+004
8.733333e+000	1.367420e+004
8.755556e+000	1.363662e+004
8.777778e+000	1.366696e+004
8.800000e+000	1.362890e+004
8.822222e+000	1.366002e+004
8.844444e+000	1.362446e+004
8.866667e+000	1.365983e+004
8.888889e+000	1.362888e+004
8.911111e+000	1.366741e+004
8.933333e+000	1.363732e+004
8.955556e+000	1.367477e+004
8.977778e+000	1.364196e+004
9.000000e+000	1.367581e+004
9.022222e+000	1.363963e+004
9.044444e+000	1.367106e+004
9.066667e+000	1.363384e+004
9.088889e+000	1.366577e+004
9.111111e+000	1.363048e+004
9.133333e+000	1.366549e+004
9.155556e+000	1.363340e+004
9.177778e+000	1.367061e+004
9.200000e+000	1.363946e+004
9.222222e+000	1.367644e+004
9.244444e+000	1.364391e+004
9.266667e+000	1.367849e+004
9.288889e+000	1.364335e+004
9.311111e+000	1.367602e+004
9.333333e+000	1.364013e+004
9.355556e+000	1.367271e+004
9.377778e+000	1.363724e+004
9.400000e+000	1.367019e+004
9.422222e+000	1.363529e+004
9.444444e+000	1.366986e+004
9.466667e+000	1.363731e+004
9.488889e+000	1.367442e+004
9.511111e+000	1.364429e+004
9.533333e+000	1.368286e+004
9.555556e+000	1.365294e+004
9.577778e+000	1.369007e+004
9.600000e+000	1.365638e+004
9.622222e+000	1.368888e+004
9.644444e+000	1.365093e+004
9.666667e+000	1.368027e+004
9.688889e+000	1.364062e+004
9.711111e+000	1.366985e+004
9.733333e+000	1.363165e+004
9.755556e+000	1.366352e+004
9.777778e+000	1.362856e+004
9.800000e+000	1.366353e+004
9.822222e+000	1.363103e+004
9.844444e+000	1.366782e+004
9.866667e+000	1.363726e+004
9.888889e+000	1.367548e+004
9.911111e+000	1.364450e+004
9.933333e+000	1.368027e+004
9.955556e+000	1.364526e+004
9.977778e+000	1.367592e+004
1.000000e+001	1.363651e+004
